country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,33.7,,,,38.3,,,,,54.5,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,,
Albania,,,,,,,,,,,,,,,,,,25.4,,,18.5,,,12.4,,,,14.3,,,,23.7,23.4,23,21.8,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,25.7,32,35.5,42
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4,27
Austria,,,,,,,,,,,,,,,,,,13.2,13,12.6,12.6,12,15.2,14.5,14.7,14.5,14.4,14.4,14.1,13.9,14.1,14.4,14.3,13.3,13.9,
Azerbaijan,,,,,,,,,,,,,,,,,49.6,,,,,,15.8,13.2,10.9,9.1,7.6,6,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,67.1,,,,,,,64.9,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,14.1,
Benin,,,,,,,,,,,,,,,,,,,,,,37.5,33,,,35.2,36.2,,,,40.1,,,,38.5,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4,,
Bangladesh,,,,,,,,,,,,,,,,48.9,,,,,40,,,,,31.5,,,,,,24.3,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9,23.4,22,22.6,23.8,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,18.2,,,,17.9,,,,16.9,,,,,
Belarus,,,,,,,,,,,,,,,,41.9,28.9,30.5,27.1,17.8,12.7,11.1,7.7,6.1,5.4,5.2,7.3,6.3,5.5,4.8,5.1,5.7,5.9,5.6,5,4.8
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2,39
Bhutan,,,,,,,,,,,,,,,,,,,,,,,23.2,,,,,12,,,,,8.2,,,
Botswana,59,,,,,,,,32.9,,,,,,,,,30.6,,,,,,,19.3,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,15,15.7,15.6,15,15,15.9,14.5,13.8,15.6,14.7,15.5,14.6,16,15.5,
Chile,,,,,,,,,,,,,,,,36,,,35.4,,,29.1,,,25.3,,22.2,,14.4,,11.7,,8.6,,,10.8
China,,,,,,,,,,,,,,,,49.8,,,,,30.2,,,,,17.2,12.7,10.2,8.5,7.2,5.7,4.5,3.1,1.7,0.6,0
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,,,39.5,,
Cameroon,,,,,,,,,,,,53.3,,,,,40.2,,,,,,39.9,,,,,,,37.5,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,69.3,,,,,,,,63.9,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,50.7,,,,,,40.9,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7,42.5
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,58,,,,,,46,,,,,,,,35,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,23.5,23.3,24.6,23.6,22.9,22.1,22.9,23.9,30
Cyprus,,,,,,,,,,,,,,,,,,,,16.1,15.6,15.5,15.9,15.8,15.6,14.8,14.7,15.3,14.4,16.2,16.1,15.7,15.4,14.7,14.3,
Czech Republic,,,,,,,,,,,,,,,,,,,,,9.8,,,,,,,,,9.7,9.7,9.1,9.6,10.1,9.5,
Germany,,,,,,,,,,,,,,,,,,,,12.2,12.5,15.2,15.2,15.5,15.6,15.8,16.1,16.1,16.7,16.7,16.5,16.1,16,18.9,18.5,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.1,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,22.8,21,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,36.7,35.1,36,32.8,28.6,27.3,25.6,22.5,23.3,22.9,21.5,23.2,25,33
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.8,,32.5,,,
Eritrea,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,20.1,20.1,20.3,19.7,19.8,20.4,20.7,20.6,20.8,20.4,22.2,22.1,22.3,21.6,21.5,20.7,21,
Estonia,,,,,,,,,,,,,,,,,,,20.2,18.3,18.3,19.4,19.5,19.7,15.8,17.5,17.5,18.6,,21.6,21.7,21,21.9,21.7,20.7,
Ethiopia,,,,,,,,,,,45.5,,,,44.2,,,,,38.7,,,,,,29.6,,,,,23.5,,,,,
Finland,,,,,,,,,,,,,,,,,,,11,11.7,12.6,13,13.6,13.8,13.1,13.7,13.2,11.8,12.8,12.4,11.6,11.5,12,11.6,12.2,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,29.9,,,,,,,,41.2,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,32.7,,,,,,,,,,,,33.4,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18.6,,,
Georgia,,,,,,,,,,,,,,,,,,,,34.3,35.4,36.9,38.8,34.9,34.9,37.3,34.1,30,26.2,23.5,21.6,22,21.9,20.1,19.5,21.3
Ghana,,,,,,,,,,,,,,,,,,,,,31.9,,,,,,,24.2,,,,23.4,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,,,,,48.6,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,64.7,,,,,,,,48.7,,,,,,,,47.7,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,76.8,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,20.7,19.9,19.6,20.5,20.3,20.1,19.7,20.1,21.4,23.1,23.1,22.1,21.4,21.2,20.2,18.5,17.9,17.7,
Guatemala,,,,,,,,,,,,,,,,56,,,,,,51,,,,,,,,59.3,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7,51.5,49.7,49.8,50.4,48,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,20.6,20.9,20.4,19.5,19.4,20,19.5,20,19.3,18.3,18.3,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,13.4,12.8,12.3,12.3,
Indonesia,,,,,,,,,,,,,,,,19.1,18.4,18.2,17.4,16.7,16,17.8,16.6,15.4,14.1,13.3,12.5,12,11.4,11.3,11.2,10.9,10.6,9.8,9.4,9.8
India,,,,,,,,,45.3,,,,,,,,,,,37.2,,,,,29.8,,21.9,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,
Iraq,,,,,,,,,,,,,,,,,,,,,,22.4,,,,,,18.9,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,10,9.7,9.6,10.1,10.1,10.2,9.8,9.2,7.9,9.3,7.9,9.2,8.8,10.1,8.8,,,
Italy,,,,,,,,,,,,,,,,,,,18.9,19.2,19.3,19.5,18.9,18.4,18.7,19.8,19.5,19.3,19.4,19.9,20.6,20.3,20.3,20.1,,
Jamaica,,,,,30.5,28.4,44.6,33.9,24.4,22.8,27.5,26.1,19.9,15.9,16.9,18.7,16.9,19.7,19.1,16.9,14.8,14.3,9.9,12.3,16.5,17.6,,19.9,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,4.3,5.3
Kenya,,,,,,,,,,,,,,,,,,,,,46.8,,,,,,,,,,36.1,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,39.9,35,31.7,31.7,33.7,36.8,38,37,30.6,32.1,25.4,25.6,22.4,20.1,25.3
Cambodia,,,,,,,,,,,,,,,,,,,50.2,,,45,,34,23.9,22.1,20.5,17.7,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9,17.6,21.1,17.6,,,,,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,63.8,,,,,,,54.1,,50.9,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,22.7,,,,15.2,,,8.9,,,6.7,,,,4.1,,,,
Lesotho,,,,,,,,,,,,,,,,,,56.6,,,,,,,,,,,,,,,49.7,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,22.9,22.9,20.6,20.9,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,22.1,23.3,22.9,21.6,
Morocco,,,,,,,,,,,,,,16.3,,15.3,,,,,,8.9,,,,,,,4.8,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,26.8
Madagascar,,,,,,,,,,,,,,,,,70.8,,,,73.2,,,,,71.7,,70.7,,,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9,,43.9
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,27,26.8,26.2,24.2,22.1,21.5,21.9,22.2,21.9,21.6,,
Mali,,,,,,,,,,,,,,,,,50.9,,,,,41.7,,,41.1,,45.4,,47.1,46.9,47.2,46.8,44.9,43.8,42.3,41.9
Malta,,,,,,,,,,,,,,,,,,,,14.3,14.2,15.1,15.3,14.9,15.5,15.6,15.1,15.8,15.8,16.6,16.5,16.7,16.8,17.1,16.9,
Myanmar,,,,,,,,,,,,,,,,,,,,,48.2,,,,,42.2,,,,,32.1,,24.8,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,24.1,24.4,24,23.6,23.8,24.5,22.6,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,38.8,33.7,27.4,,21.6,,29.6,,28.4,,27.8
Mozambique,,,,,,,,,,,,69.4,,,,,,54.1,,,,,,54.7,,,,,,46.1,,,,,,
Mauritania,,,,,,,,,,,,,,,,51,,,,46.7,,,,42,,,,,,31,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,10.3,,,
Malawi,,,,,,,,,,,,,65.3,,,,,,,52.4,,,,,,50.7,,,,,,51.5,,,50.7,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,,,5.6,8.4,
Namibia,,,,,,,,,69.3,,,,,,,,,,37.7,,,,,,28.7,,,,,,17.4,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,,
Nicaragua,,,,,,,,,,,,,,,,,45.8,,,,48.3,,,,42.5,,,,,29.6,,24.9,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,13.2,13.3,13.2,13.4,
Norway,,,,,,,,,,,,,,,,,,10.8,10.8,11.4,12,11.9,11.4,11.7,11.2,10.5,10,10.9,10.9,11.9,12.2,12.3,12.9,12.7,12.7,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,64.3,,,51.7,50.4,,44.1,,,36.8,36.3,,29.5,,24.3,,,21.9,,
Panama,,,,,,,,,,,,,,,,37.9,,,,,36.6,38.3,36.5,33.8,33.4,29.8,27.6,26.5,25.8,25.6,23,22.1,20.7,21.4,21.5,
Peru,,,,,,,,,,,,,,,,,,,,58.7,55.6,49.2,42.4,37.3,33.5,30.8,27.8,25.8,23.9,22.7,21.8,20.7,21.7,20.5,20.2,30.1
Philippines,,,,,,,,,,,,,,,,,,,24.9,,,26.6,,,26.3,,,25.2,,,23.5,,,16.7,,
Palau,,,,,,,,,,,,,,,,,,,,,,24.9,,,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,39.9,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,16,,,,20.5,19.1,17.3,16.9,17.1,17.6,17.7,17.1,17.3,17,17.6,17.3,15,14.8,15.4,14.8,
Portugal,,,,,,,,,,,,,,,,,,,20.4,19.4,18.5,18.1,18.5,17.9,17.9,18,17.9,18.7,19.5,19.5,19,18.3,17.3,17.2,16.2,
Paraguay,,,,,,,,,,,,,,,,,,57.7,51.4,48.8,44.9,48.9,45.3,43.2,41.6,39,37,31.4,28,27.2,26.6,28.9,26.4,24.2,23.5,26.9
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,25.8,,,,,29.2,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,
Russia,,,,,,,,,,,,,,,,29,,24.6,20.3,17.6,17.8,15.2,13.3,13.4,13,12.5,12.7,10.7,10.8,11.2,13.3,13.3,13.2,12.6,12.3,12.1
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1,,,38.2,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,46.5,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,55.2,,,,48.3,,,,,,46.7,,,,,,,,,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,22.7,,,,,,,12.7,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.8,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,25,26.7,25.9,25.7,24.3,23.2,21.7,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.3,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,13.3,11.6,10.6,10.9,11,12,13,13.2,12.8,12.6,12.3,12.7,12.4,12.2,11.9,11.4,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,13.3,13.3,12,12.4,
Sweden,,,,,,,,,,,,,,,,,,,,,,,13.5,14.4,14.8,15.4,15.2,16,15.6,16.3,16.2,15.8,16.4,17.1,16.1,
Eswatini,,,,,,,,,,,,,,,,69,,,,,,,,,63,,,,,,,58.9,,,,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.3,,,,,25.3,,
Syria,,,,,,,,,,,,,,,,,,,30.1,,,,35.2,,,,,,,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3,,
Togo,,,,,,,,,,,,,,,,,,,,,,61.7,,,,,58.7,,,,55.1,,,,,
Thailand,,,,,,,,,,,,,,,,42.3,,32.4,,26.8,,21.9,20,20.4,17.9,16.4,13.2,12.6,10.9,10.5,7.2,8.6,7.9,9.9,6.2,6.8
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,32,31.3,30.3,29.5,27.4,26.3,
Timor-Leste,,,,,,,,,,,,,,,,,36.3,,,,,,50.4,,,,,,,41.8,,,,,,
Tonga,,,,,,,,,,,,,,,,16.2,,,,,,,,,22.5,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,,25.4,,,,,23.1,,,,,20.5,,,,,15.2,,,,,
Turkey,,,,,,,,,,,,,,,,,25,,,,18.6,16.3,16.7,17.1,16.9,16.1,16.3,15,15,14.7,14.3,13.5,13.9,14.4,15,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,26.3,,,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,35.6,,,,,,,34.4,,,,28.2,,,,,,26.4,,,
Uganda,,,,,,,,56.4,,,,44.4,,,33.8,,,38.8,,,31.1,,,,24.5,,,19.7,,,,21.4,,,20.3,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14.1,,,,,,,
Venezuela,,,,,,,,,,,,,55.6,49,42.8,41.6,31.1,41.1,54,53.1,42.4,33.1,27.5,27.7,26.4,26.8,27.4,27.2,29.4,29.5,33.1,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,,17.2,,13.5,,9.8,,6.7,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9
Samoa,,,,,,,,,,,,,,,,,,,,,,,,26.9,,,,,20.3,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,34.8,,,,,,,,,48.6,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,66.6,,,62.1,,53.2,,,,55.5,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,54.7,,,,,54.4,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,32.2,,,,,,,,,,22.5,,,,,,30.4,,38.3,
