country,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,,,,,,,,,,,,,,,,,,0.92,1.04,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,4.23,4.59,6.12,6.07,6.62,7.07,7.52,8.22,,
Australia,12.9,,,14.3,,,,,,16.4,,,,,,,,20.1,,,,,,,,,
Austria,,,,,,,25.4,25.5,26.4,27.6,28.1,28.8,29.5,29.8,30.3,32.3,32.8,33.8,34.7,,,,39.1,39.3,40.7,41.3,43.5
Azerbaijan,,,,,,,,,,,,,,,,8.2,8.63,9.28,10.6,10.5,10.9,10.3,9.5,8.65,8.97,10.3,
Belgium,,,,,,,,,,,31.7,32,33,34.1,35.7,37.6,38.9,40.6,43,,,,45.2,45.6,47,47.8,48.7
Bulgaria,,,,,2.93,3.27,3.68,3.75,3.95,4.18,4.3,4.45,4.43,4.86,5.66,6.17,6.76,7.41,8.35,,,,11.9,13.1,14.1,15.3,15.8
Canada,,,,,,,,,,,,,,,22.3,22.8,23.1,24.1,24.7,25.1,25.8,25.7,26.3,27.1,28.1,,
Switzerland,,,,,,,,,,,,,,,,,35.4,,,,41.6,,,,,,
Chile,,,,,,,,,,,,,,,,,10.3,10.9,11,11.7,11.8,11.7,12.1,11.1,11,12.1,
Costa Rica,,,,,,,,,,,,,,,,,5.62,6.31,6.75,6.86,,6.95,,7.44,7.49,,
Cyprus,,,10.4,11.3,11.8,12.1,12.8,13.3,14,14.7,15.5,16.4,16.9,17.9,19.4,21.2,21,21.5,21.4,21.4,21.2,21.4,22.8,,,,
Czech Republic,,6.51,7.09,7.24,7.36,7.9,8.5,10,10.3,11.3,11.9,12.7,13,14.2,,15.2,15.4,15.9,17.1,,,,20,21.5,23.2,24.5,25.5
Germany,,,23.7,24.3,24.6,25.6,26.6,27.5,28.2,28.9,29.6,29.7,30.5,31,,33.3,33.9,35.9,36.7,,,,40.6,42.3,44.3,45.1,46.2
Denmark,,,,,,,,,,,,25.3,26.8,28.6,,,,,34.9,,,,37.5,39.9,42,43.3,44.5
Spain,,,19.6,18.7,18.5,,18.7,17.4,18.3,18.7,19.1,19.6,20.4,20.8,,23.7,23.7,25.3,26.9,,,,29.5,29.8,30,30.9,32.6
Estonia,,,4.05,4.32,4.69,5.04,5.57,5.98,6.87,7.51,7.89,8.5,9.39,10.7,12.2,,,12.8,14.4,,,,18.2,19.1,20.2,21.4,22.2
Finland,,,,,,,20.6,,21.5,22.2,23.4,24.5,25.5,27,29,,,,31.6,,,,35.5,35.4,36.3,36.9,37.1
France,,,,,,,,,,,,,,,,,,,38.7,,,,40.8,41.4,42.8,43.7,44.9
United Kingdom,,,,15.3,15.8,16.6,18.2,19.7,20.3,21.1,22.4,19.7,20.7,21.1,,20.9,21.3,21.2,25.8,,,,29,29.9,31.2,32.1,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,5.87,6.07,,
Greece,,,,,,,,,,,,,,,,,,,20.6,,,,23,23.6,25.1,25.8,26.9
Croatia,,,,,,,,,,,,,,,,0.09,0.08,0.09,16.8,,,,18.5,19.4,20.7,21.3,21.3
Hungary,,,,,,,,,,10.5,9.78,11.5,12.3,12.6,,14,13.5,15.6,15.5,,,,16.7,17.5,19,20.2,21
Ireland,,,,,,,,,,,,,,,,25.4,26.1,26.1,30.9,,,,31.4,31.6,32.5,33.3,32.4
Iceland,,,,,,,,,,,,,,,21.6,19.6,19.6,20.9,25.7,22.7,23.4,24.5,30.3,32.2,34.6,35.3,38.4
Israel,,,,,,,,,,,,,,,,14.4,14.9,18.3,18.7,18.5,18.1,18.7,19.7,20.5,21.9,22.5,
Italy,,,,,,,,,,,,,,,,,,25.6,33.4,,,,35.1,35.8,37.2,38.4,40.2
Kazakhstan,,,,,,,,,,,,,,,7.06,7.4,8.1,8.95,9.83,9.48,9.88,9.73,9.38,8.55,,,12
Lithuania,,,,,,,5.18,5.55,6.23,6.86,7.11,7.66,8.61,9.77,,,,,11.4,,,,15.1,16.4,18.1,18.6,20
Luxembourg,,,,,,,,,,,31.4,32.6,34.2,34.3,35.4,33.3,33.7,35.1,36.2,,,,40.2,41.3,42.6,43.2,42.3
Latvia,,,,,4.05,4.48,5.43,5.81,6.06,5.76,5.79,5.91,6.58,7.8,8.89,,,,10.3,,,,13.7,14.6,16.5,17.3,18.7
Moldova,,,,,,,,,,,,,,,,3.9,4.2,4.15,4.71,4.66,4.98,5.34,6.03,0.56,0.62,8.16,9.35
North Macedonia,,,,,,,,,,,,,,,0,,,,,,,,,,,,
Malta,,,,,,,,,11.8,12.6,13.4,13.8,13.4,14.1,,,,,18.3,,,,22.3,22.9,23.8,23.9,22.5
Mauritius,,,,,,,,,,,,,,,,,,5.12,5.78,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,34.8,36.8,,,,39.5,40.6,42.5,42.5,43.1
Norway,,,,,,,,,,,,,,,,,,,43,,,,42.8,45,46.5,47.3,47.7
New Zealand,,,,,,,,,,,,,,,,15.8,16.2,,,,18,18,18.8,19.4,20.4,21.1,21.3
Philippines,,,,,,,,,,,,,,,,,,,,5.66,,,,,,,
Poland,,,7.66,7.55,8.06,9.01,8.92,9.67,10.2,10.6,10.9,11,11.7,13.1,,12,12.9,13.9,17.2,,,,20.7,21.5,23.1,24.2,25.2
Portugal,,,,,,,,,,,15.8,16.6,17.4,17.4,18.1,16.6,17.5,17.9,19.3,,,,20.7,21,21.9,22.4,24.1
Romania,,,,,,,3.76,4.25,4.53,4.4,4.98,5.26,5.86,6.66,,7.53,7.8,8.08,9.88,,,,13.2,15,16.9,19,20.1
Russia,,,,,,,,,,,,,,,,10.9,,,,12.8,,,,16.1,,13.5,
Slovak Republic,,,4.54,5.28,5.56,4.84,5.11,5.55,6.25,6.43,6.8,7.47,8.23,9.83,,13.1,13.8,14.5,15.6,,,,17.4,17.6,18.7,19.7,20.7
Slovenia,,17.4,16.8,17.1,17.4,17.5,17,17.1,17.5,17.6,17,17.3,18.1,18.6,,19.7,20.4,21.3,23,,,,25.6,27.1,28.2,29.7,31.4
Sweden,,,,,,,,,,,27.8,28.7,30.1,31.6,,,,,36.2,,,,38.2,38.7,39.8,40.4,40.9
Ukraine,,,,,,,,,,,,,,,,,8.04,,,,9.69,,,,9.6,,
